Datetime,Ballynacarrow,Billa Bridge,Ballygrania,Big Bridge,Ballysadare
2021-06-15 22:15,0.316,0.208,0.165,0.286,0.444
2021-06-15 22:30,0.315,0.208,0.166,0.286,0.445
2021-06-15 22:45,0.315,0.208,0.165,0.285,0.445
