Datetime,Killyon,Castlerickard,Stramatt,Trim,Boyne Aqueduct,Navan Weir,Liscartan,Slane Castle,Blackcastle,Mornington Bridge
2021-06-15 22:15,0.425,0.579,0.213,0.824,0.529,0.630,0.367,0.647,0.400,0.339
2021-06-15 22:30,0.425,0.579,0.217,0.824,0.530,0.630,0.367,0.648,0.401,0.339
2021-06-15 22:45,0.425,0.579,0.225,0.825,0.529,0.629,0.366,0.648,0.401,0.336
