Datetime,Bandon,Curranure,Ardcahan Bridge,Bealaboy Bridge
2021-06-15 22:15,,0.421,0.190,0.611
2021-06-15 22:30,,0.421,0.189,0.611
2021-06-15 22:45,,0.421,0.190,0.611
