Datetime,Rookwood,Derrycahill,Willsbrook,Bellagill
2021-06-15 22:15,0.129,0.214,0.484,0.663
2021-06-15 22:30,0.128,0.215,0.485,0.663
2021-06-15 22:45,0.128,0.214,0.485,0.663
