Datetime,Rahans  Moy ,Ballylahan,Scarrownageeragh,Curraughbonaun,Banada  Moy 
2021-06-15 22:15,0.321,0.301,0.561,0.382,0.164
2021-06-15 22:30,0.321,0.302,0.561,0.383,0.163
2021-06-15 22:45,0.322,0.301,0.561,0.383,0.164
