Datetime,Butlers Bridge,Sallaghan,Ashfield,Belturbet
2021-06-15 22:15,0.227,0.883,0.421,0.888
2021-06-15 22:30,0.227,0.883,0.421,0.891
2021-06-15 22:45,0.227,0.882,0.421,0.890
